City_ID,City,Description,Max Temp,Lat,Lng,Hotel Name
589,Payo,broken clouds,79.54,-3.7508,103.6372,Mess keban agung
590,Esmeralda,few clouds,71.6,21.8525,-78.1169,Centro de Pioneros Exploradores
595,Maridi,overcast clouds,72.88,4.9158,29.4742,
599,Orocue,broken clouds,81.14,4.7912,-71.3354,Hotel Brisas de San Miguel
600,Babahoyo,moderate rain,80.6,-1.8167,-79.5167,CASA LOS VERGARA
602,Tondano,scattered clouds,78.8,1.3038,124.9112,Villa Bella
605,Kirakira,overcast clouds,87.28,-10.4544,161.9205,SanBiz Lodge
606,Ahipara,overcast clouds,70.34,-35.1667,173.1667,Ahipara Holiday Park
610,Iralaya,broken clouds,78.39,15.0,-83.2333,Iglesia morava renovada
612,Colon,broken clouds,79.0,9.3592,-79.9014,Sand Diamond Hotel
613,Semporna,few clouds,86.0,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
615,Imbituba,few clouds,71.6,-28.24,-48.6703,Praia Hotel Imbituba
617,Fuerte,scattered clouds,82.99,17.5381,120.3644,Giordion Inn
623,Sibolga,overcast clouds,87.85,1.7427,98.7792,Hotel Syariah CN Darussalam
625,Lang Suan,few clouds,84.2,9.9456,99.0785,Langsuan Resort
627,Tabou,overcast clouds,74.64,4.423,-7.3528,hotêl doufoulougou
628,Ratnagiri,overcast clouds,79.86,16.9833,73.3,Hotel Landmark
630,Conceicao Do Araguaia,overcast clouds,71.62,-8.2578,-49.2647,Tarumã Tropical Hotel
634,Ambilobe,broken clouds,78.48,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
636,Puerto Suarez,clear sky,73.54,-18.95,-57.8,Hotel casa real
641,Mitsamiouli,overcast clouds,81.45,-11.3847,43.2844,Foyer ADM
643,Brazzaville,light rain,73.4,-4.2658,15.2832,Hotel Murex
652,Pak Phanang,scattered clouds,89.01,8.3511,100.20200000000001,Green Park Inn Hotel
656,Saint-Georges,few clouds,77.0,12.0564,-61.7485,Siesta Hotel
671,Ampanihy,overcast clouds,77.05,-24.7,44.75,Angora Hotel
672,Ahuimanu,broken clouds,77.0,21.4447,-157.8378,Paradise Bay Resort
674,San Felipe,overcast clouds,70.48,10.3399,-68.7425,Posada Llovizna Rodríguez
