City_ID,City,Description,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
63,Victoria,scattered clouds,2021-02-18 03:59:16,22.2855,114.1577,69.01,56,39,1.99
64,Coquimbo,clear sky,2021-02-18 03:59:38,-29.9533,-71.3436,60.8,77,0,3.44
65,Amga,broken clouds,2021-02-18 04:08:21,60.8953,131.9608,-15.0,85,66,4.16
66,Hobart,clear sky,2021-02-18 03:59:18,-42.8794,147.3294,87.01,24,0,13.8
67,Vernon,broken clouds,2021-02-18 04:08:21,50.2581,-119.2691,28.4,68,69,3.44
68,Nueva Loja,overcast clouds,2021-02-18 04:07:50,0.0847,-76.8828,72.64,95,100,3.27
69,Nanortalik,clear sky,2021-02-18 03:59:38,60.1432,-45.2371,15.82,80,10,8.66
70,Qaanaaq,scattered clouds,2021-02-18 04:01:06,77.484,-69.3632,-9.85,72,25,5.79
71,Mount Gambier,clear sky,2021-02-18 03:59:16,-37.8333,140.7667,91.4,22,0,14.97
72,Daryapur,few clouds,2021-02-18 04:08:21,20.9333,77.3333,73.94,53,23,12.91
73,Dhrangadhra,clear sky,2021-02-18 04:08:21,22.9833,71.4667,75.67,18,0,9.73
74,Nikolskoye,few clouds,2021-02-18 03:59:14,59.7035,30.7861,-11.99,76,20,4.47
75,Visby,overcast clouds,2021-02-18 04:08:21,57.6409,18.296,23.0,74,90,9.22
76,Nagar Karnul,broken clouds,2021-02-18 04:08:22,16.4821,78.3247,73.8,36,68,3.04
77,Labytnangi,overcast clouds,2021-02-18 04:08:22,66.6572,66.4183,-21.39,81,100,5.5
78,Canavieiras,overcast clouds,2021-02-18 04:08:22,-15.675,-38.9472,77.25,90,100,9.6
79,Viesca,few clouds,2021-02-18 04:08:22,25.35,-102.8,68.0,24,20,6.91
80,Inhambane,moderate rain,2021-02-18 04:08:22,-23.865,35.3833,79.21,87,100,19.17
81,Castro,clear sky,2021-02-18 03:58:04,-24.7911,-50.0119,58.12,84,3,2.42
82,Ribeira Grande,overcast clouds,2021-02-18 03:59:16,38.5167,-28.7,59.09,77,99,23.64
83,Avarua,overcast clouds,2021-02-18 03:59:09,-21.2078,-159.775,80.6,83,90,8.05
84,Langenburg,broken clouds,2021-02-18 04:08:22,49.2544,9.8458,35.6,100,75,3.44
85,Coihaique,light rain,2021-02-18 04:08:22,-45.5752,-72.0662,51.8,87,90,6.91
86,Garowe,broken clouds,2021-02-18 04:08:22,8.4054,48.4845,64.81,84,59,10.0
87,Bethel,clear sky,2021-02-18 03:59:07,41.3712,-73.414,23.0,58,1,3.98
88,Tuktoyaktuk,scattered clouds,2021-02-18 03:59:23,69.4541,-133.0374,-34.6,67,40,4.61
89,Bentiu,overcast clouds,2021-02-18 04:08:23,9.2333,29.8333,68.23,23,87,7.65
